Index,Name,BoroCD,Pop2010,Pop2013,EduPop,CD_Area,Grass,Trees,Green Space,Green Space Per Person,Vulnerable Age,Poverty,Education,Pollution,Overweight,Exercise,Asthma,Distance to Parks
4,Brooklyn - 8,308,93329,92706,65022,45605543.04,0.063932,0.178346,0.242278,118.3899941,0.313846,0.260123,0.385423,10.736503,0.607864,0.718542,0.141135,6.221597
14,Brooklyn - 9,309,100343,101862,66464,45326551.14,0.050898,0.151201,0.2021,91.29182888,0.350507,0.231362,0.437319,10.655417,0.55225,0.79455,0.1326,6.192115
10,Brooklyn - 10,310,125046,133415,95370,111031899.7,0.126658,0.177825,0.304484,270.360003,0.339754,0.160244,0.420603,9.845865,0.578254,0.714904,0.055796,6.076436
1,Brooklyn - 11,311,183695,180041,129741,103176293.6,0.037231,0.098009,0.135241,75.96105027,0.348686,0.168711,0.561819,9.791723,0.585734,0.694257,0.058579,7.872946
8,Brooklyn - 12,312,194846,194719,110921,99853523.83,0.064277,0.154567,0.218844,112.1518767,0.438402,0.310935,0.530774,10.241053,0.554222,0.623252,0.063454,8.896377
7,Brooklyn - 13,313,103072,92942,68923,88148969.78,0.137451,0.126226,0.263677,225.5011633,0.402708,0.269017,0.441013,9.349296,0.600912,0.664832,0.071425,6.57503
11,Brooklyn - 14,314,158086,154626,100605,82179254.67,0.062646,0.215081,0.277727,144.3733023,0.364137,0.224418,0.422454,10.329413,0.544349,0.739265,0.103361,9.965254
18,Brooklyn - 15,315,158196,156420,110899,131647216.4,0.077728,0.170312,0.248041,206.4142405,0.374902,0.152832,0.414494,9.512505,0.602,0.651,0.075,7.119051
27,Brooklyn - 16,316,86970,86290,52009,51766599.11,0.091087,0.142652,0.23374,139.1275713,0.393101,0.368072,0.557807,10.668423,0.613779,0.71298,0.141162,5.231228
28,Brooklyn - 17,317,156989,159085,106705,93792186.88,0.086422,0.143429,0.229852,137.3237726,0.352183,0.164999,0.47426,10.383002,0.561361,0.781448,0.130118,5.981591
19,Brooklyn - 18,318,192799,203352,134304,235764715.5,0.208223,0.181656,0.389879,476.764462,0.359887,0.113414,0.382505,9.383655,0.682119,0.611597,0.117201,5.992574
15,Brooklyn - 55 (Park),355,1345,1488,1209,26132579.22,0.197767,0.553075,0.750842,14588.42977,0.294423,0.018817,0.16129,9.870232,0.549701,0.797913,0.132192,0.976929
