FID,BoroCode,Boro,County,Code,Name, Area , TotalPop ,TreePer,GrassPer,GreenPer,AgePerc, TreeArea , GrassArea , GreenArea ,GreenPerPP,PplAge,PplPov,PplEdu,PovPerc,EduPerc,Asthma,Bike,Exer30,Overweight,Rec7,Diabetes,PM2_5
168,2,Bronx,5,BX09,Soundview - Castle Hill - Clason Point - Harding Park,51959042.39,53686,0.167146,0.14462,0.311767,0.359013,8684775,7514365,16199140,139.9688001,19274,14144,26817,0.263457,0.499515,0.148,0.065,0.683,0.318,0.352,0.155,10.129339
169,4,Queens,81,QN23,College Point,50621046.76,24275,0.116178,0.179293,0.295471,0.305211,5881090,9076007,14957097,373.8828836,7409,2848,12565,0.117322,0.51761,0.054,0.085,0.689,0.641,0.315,0.056,9.945145
170,4,Queens,81,QN49,Whitestone,69046580.06,30773,0.191042,0.183742,0.374784,0.361908,13190829,12686759,25877588,412.2691645,11137,1723,12179,0.05599,0.395769,0.054,0.085,0.689,0.641,0.315,0.056,9.298737
171,3,Brooklyn,47,BK50,Canarsie,82029957.14,83693,0.196218,0.162316,0.358535,0.31729,16095787,13314835,29410622,159.0913816,26555,11953,33403,0.142819,0.399113,0.117,0.075,0.597,0.306,0.307,0.166,9.573803
174,3,Brooklyn,47,BK72,Williamsburg,11590082.55,32926,0.171559,0.053016,0.224576,0.444785,1988390,614466,2602856,18.66203001,14645,19025,22896,0.57781,0.695377,0.088,0.118,0.754,0.496,0.322,0.076,11.317618
175,3,Brooklyn,47,BK73,North Side - South Side,28868648.73,45774,0.091321,0.054188,0.14551,0.23391,2636320,1564358,4200678,34.17568926,10707,11789,16209,0.257547,0.354109,0.088,0.118,0.754,0.496,0.322,0.076,11.232403
176,5,Staten Island,85,SI05,New Springville - Bloomfield - Travis,327752725.1,39597,0.191858,0.43976,0.631619,0.339773,62882218,144132779,207014996,3639.992398,13454,3426,15454,0.086521,0.390282,0.137,0.087,0.8,0.362,0.459,0.111,9.173688
177,5,Staten Island,85,SI24,Todt Hill - Emerson Hill - Heartland Village - Lighthouse Hill,184848867.3,30714,0.465283,0.241018,0.706301,0.347659,86007045,44552073,130559118,1450.546103,10678,2376,12019,0.077358,0.391319,0.137,0.087,0.8,0.362,0.459,0.111,8.747162
178,1,Manhattan,61,MN23,West Village,25000526.26,66880,0.149683,0.018984,0.168667,0.195319,3742158,474621,4216779,7.096605861,13063,4942,4574,0.073893,0.068391,0.167,0.157,0.868,0.613,0.642,0.036,12.765342
179,1,Manhattan,61,MN22,East Village,10895491.78,44136,0.190368,0.030272,0.220641,0.136804,2074161,329838,2403999,7.473219141,6038,6931,6748,0.157037,0.152891,0.173,0.193,0.815,0.596,0.52,0.124,13.004808
180,1,Manhattan,61,MN24,SoHo - TriBeCa - Civic Center - Little Italy,24859782.1,42742,0.061123,0.015383,0.076507,0.211174,1519528,382438,1901967,8.947592532,9026,4559,7152,0.106663,0.167329,0.167,0.157,0.868,0.613,0.642,0.036,12.695597
181,1,Manhattan,61,MN27,Chinatown,14501990,47844,0.139513,0.025012,0.164526,0.276544,2023230,362730,2385960,7.581514924,13231,14869,27390,0.31078,0.572485,0.173,0.193,0.815,0.596,0.52,0.124,12.897892
182,3,Brooklyn,47,BK09,Brooklyn Heights - Cobble Hill,9985857.03,22887,0.206158,0.020099,0.226258,0.225936,2058668,200712,2259380,8.769694586,5171,2273,2162,0.099314,0.094464,0.091,0.147,0.808,0.574,0.507,0.071,10.752771
183,3,Brooklyn,47,BK33,Carroll Gardens - Columbia Street - Red Hook,44616047.8,38353,0.127364,0.063264,0.190629,0.254478,5682514,2822605,8505119,73.59541626,9760,5767,10103,0.150366,0.263421,0.091,0.147,0.808,0.574,0.507,0.071,10.558707
184,1,Manhattan,61,MN19,Turtle Bay - East Midtown,17397771.42,51231,0.104098,0.017679,0.121778,0.255606,1811086,307583,2118669,6.003845328,13095,2927,3666,0.057133,0.071558,0.123,0.128,0.851,0.586,0.586,0.032,14.762697
185,1,Manhattan,61,MN31,Lenox Hill - Roosevelt Island,21499773.29,80771,0.170063,0.095544,0.265608,0.250052,3656323,2054194,5710518,25.43232101,20197,6270,8572,0.077626,0.106127,0.123,0.128,0.851,0.586,0.586,0.032,12.644126
186,3,Brooklyn,47,BK38,DUMBO - Vinegar Hill - Downtown Brooklyn - Boerum Hill,28461394.47,34495,0.160513,0.046087,0.2066,0.238817,4568433,1311716,5880150,38.02626468,8238,7580,10715,0.219741,0.310624,0.091,0.147,0.808,0.574,0.507,0.071,11.216805
187,3,Brooklyn,47,BK68,Fort Greene,16500852.73,26079,0.23872,0.091472,0.330192,0.263353,3939084,1509378,5448462,57.87714253,6868,5933,8699,0.227501,0.333563,0.091,0.147,0.808,0.574,0.507,0.071,10.843844
189,5,Staten Island,85,SI11,Charleston - Richmond Valley - Tottenville,145821808.1,23313,0.405378,0.205399,0.610777,0.31343,59112985,29951727,89064712,1284.765024,7307,1140,8470,0.048899,0.363316,0.137,0.087,0.8,0.362,0.459,0.111,9.18727
